,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020/8/15,2101,2134,875,939,1006,1818,2985,5733,11821,20331,36014,39288,44093,43687,41955,39696,34779,28079,16050,8875,6878,4130,3473,2381
2020/8/16,2112,2117,1616,1335,960,1342,2418,5259,9931,17704,28144,35086,37267,36933,36933,32225,29394,18311,11433,6748,4704,3360,2898,3083
2020/8/17,2191,1768,751,604,737,1223,2108,4266,9783,13710,24940,34231,32378,33620,33080,30068,25542,17231,12382,5929,3488,2458,2342,1435
2020/8/18,773,554,768,1436,1301,1029,1690,4237,7720,11384,24872,32318,31965,30586,31342,28684,24642,18953,10692,5915,3594,3241,1622,1795
2020/8/19,1354,1001,672,1268,1383,1065,2002,4401,7802,11698,24047,31550,32488,31826,31616,28270,25384,18488,11180,5453,4532,2639,2087,2192
2020/8/20,943,777,712,741,950,1278,2105,4034,7268,9981,20198,29012,31762,28838,28250,25392,21094,16289,10371,5397,4649,2997,1926,1973
2020/8/21,1468,1081,710,793,757,1145,1885,3763,8434,11355,21941,27623,30841,30997,29674,25697,23551,19726,11560,6808,3326,2273,2536,3176
2020/8/22,3224,1432,1958,1224,939,1427,2277,4586,9037,15058,27835,31918,35199,36761,34643,31900,26739,19979,12643,7034,3785,2944,2952,4365
2020/8/23,2967,2361,2011,2286,3336,6003,4021,3224,8626,15679,27927,31432,35167,35435,34212,31988,24209,18223,11126,5264,3111,3059,2250,1736
2020/8/24,960,701,688,877,712,1063,1956,4765,6546,10986,24487,29526,30336,28887,30146,25862,23245,16430,10262,6437,3317,2484,2554,1865
2020/8/25,931,548,636,811,980,1118,2237,4419,7340,9875,19979,27520,31047,25924,26749,24791,21229,15521,10777,6222,3941,3035,1903,2142
2020/8/26,1234,1219,1651,1311,833,1275,2031,4573,7348,9919,21782,28456,29238,27991,29622,26352,22494,16467,10039,5914,3528,2921,2929,2968
2020/8/27,1817,860,812,667,1334,1815,2367,4339,6430,9900,19865,26316,26728,26183,28133,23502,19605,16105,10275,5209,2981,2225,1946,1779
2020/8/28,1254,766,547,592,587,1090,1571,4672,7846,10655,22070,29776,32023,30917,29885,25368,23453,20018,11637,5577,2873,2786,4008,2661
2020/8/29,1390,2095,931,866,1028,1425,2309,3933,8465,16713,30462,33218,38926,37408,40191,36112,30052,25024,13634,7196,5391,3228,2936,2640
2020/8/30,1378,1197,1253,974,975,1546,3057,4787,10933,17758,30924,37278,39388,38373,35056,33139,28571,22792,13510,6973,5949,2825,2512,1476
2020/8/31,1304,1113,1304,1274,1081,1135,2095,4305,6257,10469,20335,27904,26365,23876,25775,20789,19060,14367,9242,6562,2339,2701,2533,2280
2020/9/1,1637,1699,1248,1137,962,1338,1702,4373,6093,8948,17048,23070,22299,21899,23036,20693,18863,15356,7577,4655,3229,2702,2695,2108
2020/9/2,1719,1371,1224,1202,902,1018,1608,4454,5772,8259,16251,22634,21074,23021,24057,20220,16469,12474,9378,4783,2909,2624,2121,1188
2020/9/3,934,453,535,343,382,772,1438,4161,5512,8447,17931,25786,23067,25192,25601,21930,16637,13379,8203,4184,2836,2584,2186,1986
2020/9/4,1078,1234,1232,709,553,976,2122,4835,6733,10404,22416,28030,28302,26624,27722,26527,23524,18904,11182,5774,3255,3152,2292,2380
2020/9/5,2872,2063,1581,1204,1010,1344,2375,3746,9009,14297,25959,29561,32809,33914,37470,33369,27828,18378,11157,5253,4955,2200,1844,1540
2020/9/6,1218,611,652,919,756,1303,1589,2936,6364,12670,27787,30718,36080,36779,33125,27410,24246,19130,11473,5193,2927,2029,1811,1357
2020/9/7,776,590,494,452,585,903,1583,3798,5298,9463,18747,22209,23194,23535,23800,19371,15728,13517,7689,4510,2351,2020,1546,1565
2020/9/8,1111,653,792,799,653,1035,1955,4295,6580,9896,19604,28388,28924,25480,25461,24004,19868,17119,10721,5794,2867,2599,3016,2105
2020/9/9,1025,940,840,690,535,883,1829,4547,6622,10860,20501,27299,27654,24232,26320,24684,23219,17113,11584,5436,3051,2879,2571,2584
2020/9/10,1340,1107,1013,581,707,1090,1899,4661,6167,10880,21389,28403,29186,27476,32040,26218,22047,16035,10583,5361,2733,2490,2631,1382
2020/9/11,1212,947,716,949,675,806,1649,4044,7875,12552,23868,32660,32761,31833,30810,30309,27056,20517,12623,6412,3407,2630,2321,2771
2020/9/12,2065,1573,1313,1520,829,1075,1548,3017,7402,15288,26170,32097,35364,32354,34493,30817,28921,19017,12686,5314,4183,2501,2038,2502
2020/9/13,2036,1544,1995,811,975,1155,2745,4516,9935,18075,35354,45403,46631,45692,42401,38076,35288,23343,14843,6268,3978,2844,1290,1231
2020/9/14,760,757,772,1023,741,892,2135,4505,8077,12118,25171,35298,35279,33369,32692,30802,25971,19809,11069,5373,3175,2792,1569,1660
