,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-03-08,1302,1190,690,620,660,1168,1368,2623,5616,10759,24299,29742,27368,27905,26542,23129,18853,15283,8494,5643,3819,3070,2027,2002,0
2020-03-09,1163,809,521,542,506,1209,1972,4049,6726,11486,22259,30810,33602,31215,34313,32372,26569,19665,14377,6680,3162,3612,1715,1729,0
2020-03-10,938,898,786,434,535,1013,1591,3327,5959,10377,22265,31240,26476,27174,25543,22112,19292,15385,10808,5410,2772,2300,2411,2180,0
2020-03-11,1398,798,833,706,781,1272,2065,3912,6614,11907,21051,33495,37119,31688,34958,30796,28682,22102,16116,10208,3726,2606,1841,1526,0
2020-03-12,580,472,369,529,532,1043,1850,3878,6440,10743,20925,31557,31371,33812,35327,29463,26636,22057,14132,9011,3793,3291,1781,1799,0
2020-03-13,737,633,559,477,617,899,1593,4195,7069,11529,22507,30026,29795,29715,35271,30792,27412,18505,13103,7304,4381,3067,2080,1663,0
2020-03-14,757,681,673,599,558,936,1683,3430,6249,10730,21064,27783,28242,26597,30476,25999,21048,15538,10558,6502,3929,2896,1877,1262,0
2020-03-15,911,524,490,456,588,957,1912,3429,7927,14181,34387,39489,39165,40454,39635,36700,30690,20378,14740,7929,4819,2926,2237,1549,3
2020-03-16,755,622,482,425,700,1014,1934,3398,6921,11880,28155,35291,33309,33941,36003,30971,24782,20242,12648,6362,4736,2980,2146,1660,0
2020-03-17,957,623,638,704,686,1131,2199,4640,7505,12604,29012,36675,36754,36357,38866,36468,29813,24563,16209,8519,4230,3000,2050,1912,0
2020-03-18,919,793,692,684,744,1278,1985,3679,7452,13222,27130,37087,35696,36616,38900,34906,33860,27237,17615,10279,4745,3150,2519,1398,3
2020-03-19,1051,864,715,596,706,895,2070,3528,6389,10757,26310,31034,31241,34759,35427,32790,28651,22917,17504,8700,4188,3345,2152,1724,0
2020-03-20,812,776,590,571,832,1495,2278,4761,10181,16461,32702,40340,41909,46797,47742,44805,39778,37731,22585,13570,9149,4712,2593,2385,3
2020-03-21,1439,847,893,655,902,1786,2828,5268,11048,21201,38322,46158,50738,53184,48882,52426,50960,38434,26252,19471,12219,6240,3102,1906,3
2020-03-22,1088,1081,757,638,866,1260,1804,4011,9002,17766,35299,41976,48277,43360,43135,42900,41693,28997,16880,7846,5046,3704,2264,1444,3
2020-03-23,1104,873,711,650,998,1655,2417,4444,7221,12233,26738,35176,33154,34415,35641,31621,27149,22302,16328,8238,3379,2400,1565,1194,0
